In,O
a,O
slow,B-Instrument
cooker,I-Instrument
,,O
mix,O
cream,O
of,O
mushroom,O
soup,O
,,O
dry,B-Instrument
onion,I-Instrument
soup,I-Instrument
mix,O
and,O
water,O
.,O
Place,O
pot,O
roast,O
in,O
slow,B-Instrument
cooker,I-Instrument
and,O
coat,O
with,O
soup,O
mixture,O
.,O
Cook,O
on,O
High,O
setting,O
for,O
3,O
to,O
4,B-Measurement
hours,I-Measurement
,,O
or,O
on,O
Low,O
setting,O
for,O
8,O
to,O
9,B-Measurement
hours,I-Measurement
.,O
Preheat,O
oven,O
to,O
350,B-Measurement
degrees,I-Measurement
F,I-Measurement
(,O
175,B-Measurement
degrees,I-Measurement
C,O
),O
.,O
Lightly,O
grease,O
a,O
5x9,B-Instrument
inch,I-Instrument
loaf,I-Instrument
pan,I-Instrument
.,O
Press,O
the,O
brown,B-Instrument
sugar,I-Instrument
in,O
the,O
bottom,O
of,O
the,O
prepared,B-Instrument
loaf,I-Instrument
pan,I-Instrument
and,O
spread,O
the,O
ketchup,O
over,O
the,O
sugar,O
.,O
In,O
a,O
mixing,O
bowl,O
,,O
mix,O
thoroughly,O
all,O
remaining,O
ingredients,O
and,O
shape,O
into,O
a,O
loaf,O
.,O
Place,O
on,O
top,O
of,O
the,O
ketchup,O
.,O
Bake,O
in,O
preheated,B-Instrument
oven,I-Instrument
for,O
1,B-Measurement
hour,I-Measurement
or,O
until,O
juices,O
are,O
clear,O
.,O
Preheat,O
oven,O
to,O
350,B-Measurement
degrees,I-Measurement
F,I-Measurement
(,O
175,B-Measurement
degrees,I-Measurement
C,O
),O
.,O
Cream,O
together,O
the,O
butter,O
,,O
white,B-Instrument
sugar,I-Instrument
,,O
and,O
brown,B-Instrument
sugar,I-Instrument
until,O
smooth,O
.,O
Beat,O
in,O
the,O
eggs,O
one,O
at,O
a,O
time,O
,,O
then,O
stir,O
in,O
the,O
vanilla,O
.,O
Dissolve,O
baking,O
soda,O
in,O
hot,B-Instrument
water,I-Instrument
.,O
Add,O
to,O
batter,O
along,O
with,O
salt,O
.,O
Stir,O
