bl:,O-BOMBLOAD
224.0,I-BOMBLOAD
during,O-DEPARTURE
target,O-TGTLOCATION
saarbrucken,I-TGTLOCATION
on,O-MSNDATE
1917-10-16,I-MSNDATE
qty:,O-NUMBEROFPLANESATTACKING
35.0,I-NUMBEROFPLANESATTACKING
dummy,O
,
no.,O-UNIT
55,I-UNIT
sqdn,I-UNIT
224.0kg,O-BOMBLOAD
dropped,I-BOMBLOAD
during,O-DEPARTURE
tloc:,O-TGTLOCATION
wadgassen,I-TGTLOCATION
&,I-TGTLOCATION
bous,I-TGTLOCATION
airco,O-MDS
dh4,I-MDS
day,I-MDS
bomber,I-MDS
qty:,O-NUMBEROFPLANESATTACKING
4.0,I-NUMBEROFPLANESATTACKING
dummy,O
,
no.,O-UNIT
100,I-UNIT
sqdn,I-UNIT
payload:,O-BOMBLOAD
277.9166667kg,I-BOMBLOAD
type:,O-TGTTYPE
railway,I-TGTTYPE
jtn,I-TGTTYPE
stn.trains,I-TGTTYPE
desig:,O-MDS
fe2b,I-MDS
pc:,O-NUMBEROFPLANESATTACKING
dummy,O
,
no.,O-UNIT
216,I-UNIT
sqdn,I-UNIT
during,O-DEPARTURE
to,O-TGTLOCATION
saarbrucken,I-TGTLOCATION
etc,I-TGTLOCATION
date,O-MSNDATE
1917-10-23,I-MSNDATE
desig:,O-MDS
hadley,I-MDS
page,I-MDS
o/100,I-MDS
pc:,O-NUMBEROFPLANESATTACKING
dummy,O
,
305.0kg,O-BOMBLOAD
dropped,I-BOMBLOAD
night,O-DEPARTURE
trgt,O-TGTLOCATION
saarbrucken,I-TGTLOCATION
&,I-TGTLOCATION
others,I-TGTLOCATION
date,O-MSNDATE
1917-10-28,I-MSNDATE
qty:,O-NUMBEROFPLANESATTACKING
23.0,I-NUMBEROFPLANESATTACKING
dummy,O
,
no.,O-UNIT
55,I-UNIT
sqdn,I-UNIT
bl:,O-BOMBLOAD
226.0,I-BOMBLOAD
airco,O-MDS
dh4,I-MDS
day,I-MDS
bomber,I-MDS
qty:,O-NUMBEROFPLANESATTACKING
5.0,I-NUMBEROFPLANESATTACKING
dummy,O
,
unit,O-UNIT
no.,I-UNIT
100,I-UNIT
sqdn,I-UNIT
during,O-DEPARTURE
fe2b,O-MDS
pc:,O-NUMBEROFPLANESATTACKING
dummy,O
,
227.0kg,O-BOMBLOAD
dropped,I-BOMBLOAD
dept:,O-DEPARTURE
day,I-DEPARTURE
type:,O-TGTTYPE
munitions,I-TGTTYPE
factory,I-TGTTYPE
desig:,O-MDS
airco,I-MDS
dh4,I-MDS
day,I-MDS
bomber,I-MDS
qty:,O-NUMBEROFPLANESATTACKING
33.0,I-NUMBEROFPLANESATTACKING
dummy,O
,
unit,O-UNIT
no.,I-UNIT
55,I-UNIT
sqdn,I-UNIT
payload:,O-BOMBLOAD
221.8181818kg,I-BOMBLOAD
day,O-DEPARTURE
desig:,O-MDS
airco,I-MDS
dh4,I-MDS
day,I-MDS
bomber,I-MDS
qty:,O-NUMBEROFPLANESATTACKING
4.0,I-NUMBEROFPLANESATTACKING
dummy,O
,
unit,O-UNIT
no.,I-UNIT
55,I-UNIT
sqdn,I-UNIT
payload:,O-BOMBLOAD
218.7272727kg,I-BOMBLOAD
dept:,O-DEPARTURE
day,I-DEPARTURE
burbach,O-TGTTYPE
works,I-TGTTYPE
dummy,O
,
unit,O-UNIT
no.,I-UNIT
55,I-UNIT
sqdn,I-UNIT
payload:,O-BOMBLOAD
227.71428569999998kg,I-BOMBLOAD
trgt,O-TGTLOCATION
